"","Skipaskrárnúmer","Lengd","Brúttórúmmál","Brúttótonn","WSA","gerd"
"621",6110,7.55,2.17,3.71,31.4398687004931,"litlir"
"622",6111,8.3,3.28,4.11,33.4387786791346,"litlir"
"623",6113,7.89,3.28,4.11,33.4387786791346,"litlir"
"624",6121,7.89,3.28,4.11,33.4387786791346,"litlir"
"625",6126,7.43,2.17,3.71,31.4398687004931,"litlir"
"626",6131,7.81,3.25,4.16,33.6830814221967,"litlir"
"627",6132,7.89,3.28,4.11,33.4387786791346,"litlir"
"628",6136,7.97,2.17,3.78,31.7956489652511,"litlir"
"629",6143,8.41,5.24,4.11,33.4387786791346,"litlir"
"630",6149,7.43,2.17,3.71,31.4398687004931,"litlir"
"631",6152,7.9,2.17,3.71,31.4398687004931,"litlir"
"632",6158,7.4,0,3.78,31.7956489652511,"litlir"
"633",6166,8.5,5.22,5.42,39.4989181346706,"litlir"
"634",6170,7.89,3.28,4.11,33.4387786791346,"litlir"
"635",6181,8.63,0,6.22,42.9120677323268,"litlir"
"636",6182,7.91,3.28,4.11,33.4387786791346,"litlir"
"637",6190,9.35,7.89,7.36,47.4873652606157,"litlir"
"638",6192,7.43,2.17,3.71,31.4398687004931,"litlir"
"639",6195,8.87,0,5.35,39.1910236204854,"litlir"
"640",6200,7.43,2.17,3.71,31.4398687004931,"litlir"
"641",6204,7.43,2.17,3.71,31.4398687004931,"litlir"
"642",6206,6.22,2.19,2.35,23.8836381720751,"litlir"
"643",6209,7.89,3.28,4.11,33.4387786791346,"litlir"
"644",6214,8.66,5.26,5.22,38.6149318659687,"litlir"
"645",6218,9.22,6.34,5.46,39.6741472607252,"litlir"
"646",6220,7.98,4.65,4.36,34.6488238094226,"litlir"
"647",6223,8.57,5.18,5.55,40.0665553100155,"litlir"
"648",6230,8.62,0,5.83,41.2714854202094,"litlir"
"649",6236,8.11,6.29,4.29,34.3128601319782,"litlir"
"650",6237,7.82,5.15,3.73,31.5417907898579,"litlir"
"651",6242,8.47,5.35,4.47,35.1724611821654,"litlir"
"652",6244,7.8,3.86,4.33,34.5051042347446,"litlir"
"653",6249,7.89,3.28,4.11,33.4387786791346,"litlir"
"654",6250,7.3,4.23,4.11,33.4387786791346,"litlir"
"655",6252,7.79,4.9,3.62,30.9784860505906,"litlir"
"656",6256,7.97,4.94,4.85,36.9431698555496,"litlir"
"657",6272,8.13,3.88,3.71,31.4398687004931,"litlir"
"658",6273,8.52,0,4.86,36.9890062922887,"litlir"
"659",6283,8.75,4.6,5.28,38.8815215157006,"litlir"
"660",6284,6.95,2.9,2.99,27.6103355990708,"litlir"
"661",6287,7.89,3.28,4.09,33.3407266960535,"litlir"
"662",6299,6.93,4.24,3.58,30.7719637471028,"litlir"
"663",6301,8.68,5.97,5.85,41.3566603770026,"litlir"
"664",6302,9.07,5.79,6.67,44.7549815156493,"litlir"
"665",6305,7.85,3.28,4.09,33.3407266960535,"litlir"
"666",6310,8.3,3.78,4.3,34.3609878017847,"litlir"
"667",6322,7.91,3.28,4.11,33.4387786791346,"litlir"
"668",6329,7.8,3.86,4.33,34.5051042347446,"litlir"
"669",6331,7.8,3.86,4.33,34.5051042347446,"litlir"
"670",6337,7.95,0,3.97,32.7483569266258,"litlir"
"671",6341,9.66,6.72,6.22,42.9120677323268,"litlir"
"672",6342,9.75,3.28,7.94,49.7060866464989,"litlir"
"673",6347,8.72,6.22,5.82,41.2288543366808,"litlir"
"674",6350,7.89,3.28,4.11,33.4387786791346,"litlir"
"675",6353,9.31,6.52,5.62,40.3700132591571,"litlir"
"676",6360,8.45,5.94,5.49,39.8052340110124,"litlir"
"677",6366,9.96,0,7.12,46.5490247233183,"litlir"
"678",6368,7.89,3.28,4.11,33.4387786791346,"litlir"
"679",6369,8.69,3.29,5.51,39.8924668284926,"litlir"
"680",6376,9.08,4.85,5.56,40.1099993191942,"litlir"
"681",6377,8.91,5.69,5.19,38.4811798740706,"litlir"
"682",6379,7.08,2.67,2.84,26.767959762325,"litlir"
"683",6381,9.7,0,7.96,49.7814218669579,"litlir"
"684",6382,8.41,4.95,4.35,34.6009611432682,"litlir"
"685",6386,8.08,5.94,5.21,38.5703819445958,"litlir"
"686",6388,8.12,0,4.27,34.2164706343485,"litlir"
"687",6390,6.15,3.2,2.7,25.9656151620279,"litlir"
"688",6391,8.2,4.6,5.28,38.8815215157006,"litlir"
"689",6395,9.39,0,6.91,45.7175990612951,"litlir"
"690",6399,8.99,8.11,6.7,44.8760539339255,"litlir"
"691",6401,6.15,3.2,2.63,25.558242747309,"litlir"
"692",6403,8.99,7.26,6.67,44.7549815156493,"litlir"
"693",6408,8.82,5.41,5.68,40.6289246900917,"litlir"
"694",6412,7.59,5.34,4.33,34.5051042347446,"litlir"
"695",6417,8.53,4.75,4.08,33.2916291550567,"litlir"
"696",6418,8.08,3.87,3.71,31.4398687004931,"litlir"
"697",6420,8.76,4.88,5.17,38.3918408872876,"litlir"
"698",6423,6.45,3.79,2.71,26.0234662706217,"litlir"
"699",6429,7.75,3.48,4.35,34.6009611432682,"litlir"
"700",6431,7.89,5.3,5.21,38.5703819445958,"litlir"
"701",6437,8.13,4.84,5.15,38.3023642432129,"litlir"
"702",6443,9.1,5.98,6.33,43.3673278811095,"litlir"
"703",6452,7.99,0,4.17,33.731801436496,"litlir"
"704",6458,9.96,6.25,5.34,39.1469081446263,"litlir"
"705",6462,7.5,2.82,3.28,29.1926609955974,"litlir"
"706",6470,6.35,3.54,2.53,24.9687145173606,"litlir"
"707",6474,9.7,8,7.01,46.1147519470115,"litlir"
"708",6476,7.09,2.67,2.83,26.7111794041917,"litlir"
"709",6484,7.56,4.82,3.93,32.549321904643,"litlir"
"710",6487,9.24,7.77,6.96,45.9164593913139,"litlir"
"711",6494,6.99,4.56,3.16,28.5449478435582,"litlir"
"712",6503,6.99,2.67,2.83,26.7111794041917,"litlir"
"713",6504,7.42,4.45,3.9,32.3995160715058,"litlir"
"714",6513,8.68,5.89,5.75,40.9296162308772,"litlir"
"715",6517,9.22,7.13,7.48,47.9519631650126,"litlir"
"716",6518,9.6,7.37,6.97,45.956163142084,"litlir"
"717",6523,7.96,5.27,4.95,37.3998585652674,"litlir"
"718",6526,7.99,3.21,4.1,33.3897764831627,"litlir"
"719",6529,8.36,6.83,4.95,37.3998585652674,"litlir"
"720",6533,7.73,6.18,4.86,36.9890062922887,"litlir"
"721",6534,7.45,2.98,3.61,30.9269409852687,"litlir"
"722",6539,7.73,5.68,4.86,36.9890062922887,"litlir"
"723",6540,7.73,6.35,4.86,36.9890062922887,"litlir"
"724",6548,8.38,6.9,5.62,40.3700132591571,"litlir"
"725",6549,8.68,6.08,6.15,42.620687390224,"litlir"
"726",6552,7.59,5.34,4.33,34.5051042347446,"litlir"
"727",6555,8.7,5.88,5.75,40.9296162308772,"litlir"
"728",6562,8.49,5.14,4.28,34.2646877914923,"litlir"
"729",6563,8.09,5.12,5.62,40.3700132591571,"litlir"
"730",6565,8.8,6.94,5.99,41.9496727418564,"litlir"
"731",6567,6.22,2.19,2.35,23.8836381720751,"litlir"
"732",6569,7.89,4.59,4.16,33.6830814221967,"litlir"
"733",6575,10.02,0,7.89,49.5174174231794,"litlir"
"734",6583,9.99,0,7.15,46.6669983012563,"litlir"
"735",6584,9.88,9.19,9.94,56.904188389294,"litlir"
"736",6586,8.5,5.15,5.52,39.9360359736258,"litlir"
"737",6588,8.53,6.49,5.57,40.1534122410712,"litlir"
"738",6589,8.16,5.34,4.33,34.5051042347446,"litlir"
"739",6591,7.8,3.86,4.33,34.5051042347446,"litlir"
"740",6595,9.52,7.65,7.16,46.7062790271722,"litlir"
"741",6598,7.73,5.68,4.8,36.7134210435146,"litlir"
"742",6599,7.05,2.96,3.07,28.052717103633,"litlir"
"743",6600,7.19,4.9,3.98,32.797990781455,"litlir"
"744",6603,7.73,5.68,4.86,36.9890062922887,"litlir"
"745",6607,8.45,5.9,5.68,40.6289246900917,"litlir"
"746",6609,7.98,5.3,5.37,39.279156238435,"litlir"
"747",6610,9.88,6.91,6.73,44.9969107815864,"litlir"
"748",6616,9.24,6.32,6.97,45.956163142084,"litlir"
"749",6619,8.57,6.78,6.41,43.6964508578522,"litlir"
"750",6620,6.63,3.39,2.83,26.7111794041917,"litlir"
"751",6625,8.42,0,5.1,38.078065456771,"litlir"
"752",6626,8.45,3.88,4.82,36.8054343316484,"litlir"
"753",6629,8.38,5.3,4.95,37.3998585652674,"litlir"
"754",6633,8.5,4.58,4.57,35.6440613518416,"litlir"
"755",6634,7.02,2.63,2.84,26.767959762325,"litlir"
"756",6641,8.56,6.07,4.95,37.3998585652674,"litlir"
"757",6643,9.7,0,6.89,45.6378946674182,"litlir"
"758",6649,9.21,6.91,6.11,42.4535916907985,"litlir"
"759",6652,7.91,3.25,4.11,33.4387786791346,"litlir"
"760",6662,9.28,0,7.09,46.4308531409874,"litlir"
"761",6666,7.64,2.59,3.3,29.2996897624559,"litlir"
"762",6669,8.4,4.5,3.73,31.5417907898579,"litlir"
"763",6675,7.98,5.3,4.95,37.3998585652674,"litlir"
"764",6677,8.63,4.66,5.54,40.0230801352006,"litlir"
"765",6678,8.33,6.29,4.97,37.4907541051376,"litlir"
"766",6684,9.06,0,6.4,43.6554002558372,"litlir"
"767",6688,9.04,5.93,5.89,41.5266633889673,"litlir"
"768",6689,7.88,5.2,3.89,32.3494789615426,"litlir"
"769",6697,6.82,3.81,2.63,25.558242747309,"litlir"
"770",6700,8.5,5.15,5.52,39.9360359736258,"litlir"
"771",6702,8.4,5.87,5.28,38.8815215157006,"litlir"
"772",6703,7.99,5.3,4.88,37.0805667089308,"litlir"
"773",6710,9.91,5.7,7.5,48.0291068579949,"litlir"
"774",6711,9.7,6.29,6.76,45.1175534008425,"litlir"
"775",6717,8.11,5.77,5.17,38.3918408872876,"litlir"
"776",6719,7.74,3.78,3.57,30.7201899122879,"litlir"
"777",6725,7.65,5.83,4.72,36.3438317471151,"litlir"
"778",6728,9.33,6.86,5.61,40.3267546104978,"litlir"
"779",6737,7.98,5.9,4.96,37.4453245693015,"litlir"
"780",6738,9.28,8.73,5.85,41.3566603770026,"litlir"
"781",6743,8.97,5.33,5.36,39.2351062899102,"litlir"
"782",6752,7.98,5.3,4.95,37.3998585652674,"litlir"
"783",6753,9.85,7.89,8.54,51.9344178976354,"litlir"
"784",6754,8.5,6.3,5.75,40.9296162308772,"litlir"
"785",6757,7.98,5.9,4.96,37.4453245693015,"litlir"
"786",6762,8.57,0,5.94,41.7385223582335,"litlir"
"787",6765,8.35,5.52,4.78,36.6212550395562,"litlir"
"788",6770,9.09,0,6.57,44.3498323591702,"litlir"
"789",6771,8.36,5.3,5.11,38.1229949844284,"litlir"
"790",6776,7.98,5.9,4.96,37.4453245693015,"litlir"
"791",6777,8.14,3.77,4.11,33.4387786791346,"litlir"
"792",6780,9.14,7.49,6.52,44.1463378608051,"litlir"
"793",6783,8.43,4.84,4.66,36.06500127878,"litlir"
"794",6784,7.91,3.77,4.11,33.4387786791346,"litlir"
"795",6790,9.27,6.63,6.76,45.1175534008425,"litlir"
"796",6792,8.3,5.9,4.96,37.4453245693015,"litlir"
"797",6794,8.81,5.97,5.94,41.7385223582335,"litlir"
"798",6795,9.01,6.6,4.96,37.4453245693015,"litlir"
"799",6798,7.91,3.77,4.11,33.4387786791346,"litlir"
"800",6806,8.15,4.5,4.45,35.0776391964851,"litlir"
"801",6807,7.09,2.67,2.84,26.767959762325,"litlir"
"802",6814,6.85,3.03,2.46,24.5505126108344,"litlir"
"803",6816,9.26,0,6.04,42.1601227951121,"litlir"
"804",6821,9.24,0,7.03,46.1939112621363,"litlir"
"805",6822,8.41,5.9,4.96,37.4453245693015,"litlir"
"806",6823,7.99,5.77,5.06,37.8979956164627,"litlir"
"807",6824,9.68,7.39,6.95,45.8767329298853,"litlir"
"808",6825,8.38,5.9,4.96,37.4453245693015,"litlir"
"809",6827,8.39,6.08,5.01,37.6721096099129,"litlir"
"810",6830,9.48,0,7.27,47.1369356053672,"litlir"
