"x","y"
-0.650909090909091,4805194.80571429
-0.534318181818182,5129870.13035714
-0.442272727272727,5227272.72775
-0.350227272727273,5519480.51992857
-0.252045454545454,6038961.03935714
-0.153863636363636,6168831.16921429
-0.043409090909091,6266233.76660714
0.0547727272727272,6201298.70167857
0.146818181818182,6168831.16921429
0.245,6071428.57182143
0.34625,5974025.97442857
0.450568181818182,5876623.37703571
0.545681818181818,5649350.64978571
0.640795454545455,5422077.92253572
0.75125,5064935.06542858
0.849431818181818,4967532.46803571
0.944545454545454,4610389.61092857
1.04579545454546,4253246.75382143
1.15011363636364,4318181.81875
1.24215909090909,3961038.96164286
1.34954545454546,3538961.03960714
1.44772727272727,3376623.37728571
1.55204545454545,2954545.45525
1.65022727272727,2597402.59814286
1.74840909090909,2175324.67610715
1.85272727272727,1785714.28653572
1.94784090909091,1720779.22160714
